,B-ID-1,B-ID-2,B-ID-3,B-ID-4,B-ID-5,B-ID-6,B-ID-7,B-ID-8,B-ID-9,B-ID-10,B-ID-11,B-ID-12,B-ID-13,B-ID-14,B-ID-15,B-ID-16,B-ID-17,B-ID-18,B-ID-19,B-ID-20,B-ID-21,B-ID-22,B-ID-23,B-ID-24,B-ID-25,B-ID-26,B-ID-27,B-ID-28,B-ID-29,B-ID-30,B-ID-31,B-ID-32,B-ID-33,B-ID-34,B-ID-35,B-ID-36,B-ID-37,B-ID-38,B-ID-39,B-ID-40,B-ID-41,B-ID-42,B-ID-43,B-ID-44,B-ID-45,B-ID-46,B-ID-47,B-ID-48,B-ID-49,B-ID-50,B-ID-51,B-ID-52,B-ID-53,B-ID-54,B-ID-55,B-ID-56,B-ID-57,B-ID-58,B-ID-59,B-ID-60,B-ID-61,B-ID-62,B-ID-63,B-ID-64,B-ID-65,B-ID-66,B-ID-67,B-ID-68,B-ID-69,B-ID-70,B-ID-71,B-ID-72,B-ID-73,B-ID-74,B-ID-75,B-ID-76,B-ID-77,B-ID-78,B-ID-79,B-ID-80,B-ID-81,B-ID-82,B-ID-83,B-ID-84,B-ID-85,B-ID-86,B-ID-87,B-ID-88,B-ID-89,B-ID-90,B-ID-91,B-ID-92,B-ID-93,B-ID-94,B-ID-95,B-ID-96,B-ID-97,B-ID-98,B-ID-99,B-ID-100,Andrius Tapinas,Aust?ja Landsbergien?,Gabrielius Landsbergis,Gitanas Nauseda,Ingrida �imonyt?,Valdemar Toma�evski,Viktorija ?milyt?-Nielsen,Alar Karis,Anett Kontaveit,Barbi Pilvre,Kaja Kallas,Martin Helme,Steve Jurvetson,Toomas Vitsut,Egils Levits,Ivars Ijabs,Juris Rubenis,Krisjanis Karins,Linda Murniece,Nils Usakovs,Vaira Vike-Freiberga,Andrzej Duda,Dominika Kulczyk,Donald Tusk,Grzegorz Braun,Jerzy Owsiak,Olga Malinkiewicz,Martyna Wojciechowska,Mateusz Morawiecki,Rafal Trzaskowski,Robert Lewandowski,Szymon Ho?ownia,Wanda Traczyk-Stawska,Aleksandr Lukashenko,Maria Kalesnikava,Natalia Kachanova,Nina Baginskaya,Roman Golovchenko,Sergue� Tikhanovski,Svetlana Alexievich,Svetlana Tikhanovska�a,Victoria Azarenka,Viktar Babaryka,TV3 LT (tv3.lt),LRT (lrt.lt),Diena (Diena.lt),15min (15min.lt),Delfi LT (delfi.lt)
B-ID-75,0.56 0.56,0.33 0.33,0.33 0.33,0.33 0.33,0.33 0.33,0.33 0.33,0.56 0.56,0.44 0.44,0.56 0.56,0.56 0.56,0.56 0.56,0.22 0.22,0.33 0.33,0.22 0.22,0.56 0.56,0.33 0.33,0.33 0.33,0.44 0.44,0.33 0.33,0.67 0.67,0.44 0.44,0.56 0.56,0.44 0.44,0.67 0.67,0.33 0.33,0.11 0.11,0.44 0.44,0.44 0.44,0.33 0.33,0.56 0.56,0.56 0.56,0.56 0.56,0.56 0.56,0.56 0.56,0.33 0.33,0.44 0.44,0.56 0.56,0.22 0.22,0.44 0.44,0.78 0.78,0.44 0.44,0.67 0.67,0.44 0.44,0.56 0.56,0.44 0.44,0.22 0.22,0.56 0.56,0.56 0.56,0.44 0.44,0.56 0.56,0.33 0.33,0.56 0.56,0.33 0.33,0.22 0.22,0.67 0.67,0.44 0.44,0.22 0.22,0.44 0.44,0.33 0.33,0.44 0.44,0.33 0.33,0.33 0.33,0.44 0.44,0.44 0.44,0.44 0.44,0.44 0.44,0.67 0.67,0.56 0.56,0.33 0.33,0.33 0.33,0.22 0.22,0.56 0.56,0.22 0.22,0.44 0.44,0.0 0.0,0.89 0.89,0.22 0.22,0.78 0.78,0.56 0.56,0.44 0.44,0.44 0.44,0.22 0.22,0.22 0.22,0.67 0.67,0.33 0.33,0.22 0.22,0.56 0.56,0.44 0.44,0.33 0.33,0.67 0.67,0.33 0.33,0.44 0.44,0.33 0.33,0.56 0.56,0.56 0.56,0.56 0.56,0.67 0.67,0.78 0.78,0.67 0.67,0.44 0.44,0.44 0.44,0.44 0.44,0.44 0.44,0.44 0.44,0.33 0.33,0.22 0.22,0.44 0.44,0.44 0.44,0.11 0.11,0.33 0.33,0.33 0.33,0.22 0.22,0.33 0.33,0.56 0.56,0.56 0.56,0.56 0.56,0.44 0.44,0.33 0.33,0.44 0.44,0.22 0.22,0.56 0.56,0.56 0.56,0.22 0.22,0.78 0.78,0.33 0.33,0.56 0.56,0.22 0.22,0.33 0.33,0.56 0.56,0.56 0.56,0.33 0.33,0.67 0.67,0.56 0.56,0.22 0.22,0.44 0.44,0.0 0.0,0.44 0.44,0.11 0.11,0.44 0.44,0.33 0.33,0.44 0.44,0.0 0.0,0.44 0.44,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0
B-ID-76,0.67 0.67,0.33 0.33,0.22 0.22,0.44 0.44,0.22 0.22,0.44 0.44,0.44 0.44,0.56 0.56,0.44 0.44,0.44 0.44,0.44 0.44,0.22 0.22,0.44 0.44,0.22 0.22,0.44 0.44,0.44 0.44,0.44 0.44,0.44 0.44,0.33 0.33,0.56 0.56,0.56 0.56,0.67 0.67,0.56 0.56,0.56 0.56,0.33 0.33,0.11 0.11,0.56 0.56,0.33 0.33,0.22 0.22,0.56 0.56,0.56 0.56,0.67 0.67,0.56 0.56,0.56 0.56,0.44 0.44,0.33 0.33,0.44 0.44,0.22 0.22,0.44 0.44,0.67 0.67,0.33 0.33,0.56 0.56,0.33 0.33,0.67 0.67,0.33 0.33,0.22 0.22,0.44 0.44,0.44 0.44,0.44 0.44,0.67 0.67,0.33 0.33,0.56 0.56,0.33 0.33,0.11 0.11,0.56 0.56,0.56 0.56,0.33 0.33,0.33 0.33,0.22 0.22,0.44 0.44,0.33 0.33,0.44 0.44,0.33 0.33,0.33 0.33,0.33 0.33,0.33 0.33,0.67 0.67,0.44 0.44,0.33 0.33,0.33 0.33,0.33 0.33,0.44 0.44,0.22 0.22,0.56 0.56,0.89 0.89,0.0 0.0,0.22 0.22,0.67 0.67,0.56 0.56,0.56 0.56,0.44 0.44,0.33 0.33,0.33 0.33,0.56 0.56,0.33 0.33,0.22 0.22,0.67 0.67,0.56 0.56,0.22 0.22,0.67 0.67,0.33 0.33,0.44 0.44,0.44 0.44,0.67 0.67,0.67 0.67,0.56 0.56,0.56 0.56,0.67 0.67,0.56 0.56,0.33 0.33,0.56 0.56,0.56 0.56,0.56 0.56,0.56 0.56,0.44 0.44,0.33 0.33,0.56 0.56,0.56 0.56,0.22 0.22,0.44 0.44,0.44 0.44,0.33 0.33,0.44 0.44,0.67 0.67,0.67 0.67,0.67 0.67,0.33 0.33,0.44 0.44,0.56 0.56,0.33 0.33,0.67 0.67,0.67 0.67,0.33 0.33,0.89 0.89,0.44 0.44,0.67 0.67,0.33 0.33,0.44 0.44,0.67 0.67,0.67 0.67,0.44 0.44,0.78 0.78,0.44 0.44,0.33 0.33,0.33 0.33,0.11 0.11,0.33 0.33,0.22 0.22,0.33 0.33,0.44 0.44,0.33 0.33,0.11 0.11,0.56 0.56,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0
B-ID-77,0.44 0.44,0.67 0.67,0.44 0.44,0.78 0.78,0.78 0.78,0.56 0.56,0.67 0.67,0.33 0.33,0.56 0.56,0.44 0.44,0.44 0.44,0.67 0.67,0.44 0.44,0.56 0.56,0.44 0.44,0.56 0.56,0.44 0.44,0.67 0.67,0.67 0.67,0.22 0.22,0.33 0.33,0.56 0.56,0.44 0.44,0.56 0.56,0.67 0.67,0.44 0.44,0.56 0.56,0.78 0.78,0.89 0.89,0.56 0.56,0.44 0.44,0.33 0.33,0.67 0.67,0.56 0.56,0.67 0.67,0.44 0.44,0.44 0.44,0.67 0.67,0.78 0.78,0.44 0.44,0.67 0.67,0.33 0.33,0.44 0.44,0.56 0.56,0.67 0.67,0.78 0.78,0.33 0.33,0.44 0.44,0.67 0.67,0.56 0.56,0.89 0.89,0.67 0.67,0.78 0.78,0.56 0.56,0.44 0.44,0.67 0.67,0.67 0.67,0.56 0.56,0.67 0.67,0.56 0.56,0.78 0.78,0.56 0.56,0.44 0.44,0.56 0.56,0.33 0.33,0.67 0.67,0.44 0.44,0.33 0.33,0.67 0.67,0.33 0.33,0.78 0.78,0.44 0.44,0.78 0.78,0.44 0.44,0.22 0.22,0.22 0.22,0.0 0.0,0.33 0.33,0.44 0.44,0.44 0.44,0.67 0.67,0.56 0.56,0.78 0.78,0.22 0.22,0.89 0.89,0.56 0.56,0.56 0.56,0.44 0.44,0.44 0.44,0.56 0.56,0.56 0.56,0.33 0.33,0.44 0.44,0.33 0.33,0.33 0.33,0.33 0.33,0.44 0.44,0.44 0.44,0.44 0.44,0.33 0.33,0.33 0.33,0.44 0.44,0.33 0.33,0.44 0.44,0.56 0.56,0.33 0.33,0.44 0.44,0.33 0.33,0.33 0.33,0.33 0.33,0.44 0.44,0.44 0.44,0.33 0.33,0.22 0.22,0.0 0.0,0.22 0.22,0.33 0.33,0.22 0.22,0.33 0.33,0.22 0.22,0.22 0.22,0.22 0.22,0.22 0.22,0.11 0.11,0.22 0.22,0.11 0.11,0.33 0.33,0.33 0.33,0.22 0.22,0.33 0.33,0.22 0.22,0.22 0.22,0.22 0.22,0.22 0.22,0.44 0.44,0.44 0.44,0.33 0.33,0.33 0.33,0.33 0.33,0.22 0.22,0.44 0.44,0.44 0.44,0.33 0.33,0.0 0.0,1.00 1.00,0.0 0.0,0.0 0.0,0.0 0.0
B-ID-78,0.56 0.56,0.44 0.44,0.44 0.44,0.44 0.44,0.44 0.44,0.44 0.44,0.67 0.67,0.56 0.56,0.56 0.56,0.67 0.67,0.78 0.78,0.22 0.22,0.33 0.33,0.44 0.44,0.78 0.78,0.22 0.22,0.56 0.56,0.56 0.56,0.44 0.44,0.56 0.56,0.67 0.67,0.67 0.67,0.56 0.56,0.67 0.67,0.44 0.44,0.33 0.33,0.44 0.44,0.56 0.56,0.44 0.44,0.56 0.56,0.78 0.78,0.67 0.67,0.67 0.67,0.44 0.44,0.44 0.44,0.44 0.44,0.56 0.56,0.22 0.22,0.56 0.56,0.78 0.78,0.56 0.56,0.78 0.78,0.56 0.56,0.67 0.67,0.56 0.56,0.33 0.33,0.44 0.44,0.67 0.67,0.44 0.44,0.67 0.67,0.44 0.44,0.67 0.67,0.44 0.44,0.33 0.33,0.89 0.89,0.56 0.56,0.11 0.11,0.56 0.56,0.44 0.44,0.67 0.67,0.44 0.44,0.33 0.33,0.56 0.56,0.56 0.56,0.67 0.67,0.44 0.44,0.44 0.44,0.78 0.78,0.44 0.44,0.22 0.22,0.33 0.33,0.56 0.56,0.33 0.33,0.56 0.56,0.78 0.78,0.67 0.67,0.33 0.33,0.0 0.0,0.44 0.44,0.56 0.56,0.44 0.44,0.33 0.33,0.44 0.44,0.67 0.67,0.44 0.44,0.33 0.33,0.44 0.44,0.56 0.56,0.56 0.56,0.44 0.44,0.44 0.44,0.67 0.67,0.33 0.33,0.56 0.56,0.56 0.56,0.44 0.44,0.89 0.89,0.89 0.89,0.78 0.78,0.33 0.33,0.56 0.56,0.56 0.56,0.56 0.56,0.56 0.56,0.44 0.44,0.33 0.33,0.56 0.56,0.44 0.44,0.11 0.11,0.33 0.33,0.33 0.33,0.22 0.22,0.33 0.33,0.56 0.56,0.44 0.44,0.56 0.56,0.44 0.44,0.33 0.33,0.44 0.44,0.22 0.22,0.44 0.44,0.44 0.44,0.11 0.11,0.56 0.56,0.22 0.22,0.33 0.33,0.11 0.11,0.22 0.22,0.44 0.44,0.44 0.44,0.22 0.22,0.56 0.56,0.33 0.33,0.11 0.11,0.44 0.44,0.0 0.0,0.33 0.33,0.11 0.11,0.44 0.44,0.22 0.22,0.44 0.44,0.0 0.0,0.44 0.44,1.00 1.00,1.00 1.00,1.00 1.00,0.0 0.0,1.00 1.00
B-ID-79,0.56 0.56,0.56 0.56,0.11 0.11,0.22 0.22,0.33 0.33,0.56 0.56,0.44 0.44,0.33 0.33,0.33 0.33,0.44 0.44,0.22 0.22,0.44 0.44,0.56 0.56,0.44 0.44,0.67 0.67,0.22 0.22,0.56 0.56,0.44 0.44,0.44 0.44,0.33 0.33,0.33 0.33,0.44 0.44,0.44 0.44,0.56 0.56,0.33 0.33,0.22 0.22,0.44 0.44,0.44 0.44,0.33 0.33,0.67 0.67,0.56 0.56,0.44 0.44,0.67 0.67,0.56 0.56,0.44 0.44,0.33 0.33,0.56 0.56,0.56 0.56,0.56 0.56,0.44 0.44,0.44 0.44,0.33 0.33,0.22 0.22,0.33 0.33,0.22 0.22,0.44 0.44,0.44 0.44,0.44 0.44,0.56 0.56,0.33 0.33,0.33 0.33,0.67 0.67,0.67 0.67,0.33 0.33,0.33 0.33,0.33 0.33,0.22 0.22,0.22 0.22,0.33 0.33,0.56 0.56,0.67 0.67,0.33 0.33,0.56 0.56,0.44 0.44,0.56 0.56,0.22 0.22,0.56 0.56,0.22 0.22,0.44 0.44,0.67 0.67,0.33 0.33,0.33 0.33,0.44 0.44,0.44 0.44,0.56 0.56,0.56 0.56,0.44 0.44,0.44 0.44,0.0 0.0,0.22 0.22,0.78 0.78,0.33 0.33,0.33 0.33,0.56 0.56,0.44 0.44,0.33 0.33,0.44 0.44,0.44 0.44,0.11 0.11,0.78 0.78,0.33 0.33,0.56 0.56,0.44 0.44,0.33 0.33,0.56 0.56,0.44 0.44,0.56 0.56,0.44 0.44,0.33 0.33,0.11 0.11,0.33 0.33,0.22 0.22,0.44 0.44,0.44 0.44,0.33 0.33,0.22 0.22,0.22 0.22,0.44 0.44,0.0 0.0,0.22 0.22,0.33 0.33,0.44 0.44,0.22 0.22,0.33 0.33,0.33 0.33,0.33 0.33,0.22 0.22,0.33 0.33,0.22 0.22,0.44 0.44,0.33 0.33,0.44 0.44,0.11 0.11,0.44 0.44,0.22 0.22,0.33 0.33,0.0 0.0,0.22 0.22,0.44 0.44,0.44 0.44,0.11 0.11,0.33 0.33,0.22 0.22,0.44 0.44,0.33 0.33,0.22 0.22,0.44 0.44,0.33 0.33,0.44 0.44,0.33 0.33,0.33 0.33,0.11 0.11,0.44 0.44,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0
B-ID-80,0.44 0.44,0.56 0.56,0.56 0.56,0.67 0.67,0.44 0.44,0.22 0.22,0.44 0.44,0.67 0.67,0.56 0.56,0.33 0.33,0.56 0.56,0.44 0.44,0.56 0.56,0.22 0.22,0.33 0.33,0.67 0.67,0.33 0.33,0.67 0.67,0.56 0.56,0.56 0.56,0.67 0.67,0.67 0.67,0.67 0.67,0.56 0.56,0.67 0.67,0.44 0.44,0.22 0.22,0.56 0.56,0.44 0.44,0.56 0.56,0.44 0.44,0.44 0.44,0.56 0.56,0.33 0.33,0.44 0.44,0.33 0.33,0.33 0.33,0.44 0.44,0.44 0.44,0.67 0.67,0.56 0.56,0.67 0.67,0.56 0.56,0.89 0.89,0.56 0.56,0.44 0.44,0.11 0.11,0.33 0.33,0.22 0.22,0.89 0.89,0.56 0.56,0.56 0.56,0.33 0.33,0.44 0.44,0.67 0.67,0.78 0.78,0.44 0.44,0.67 0.67,0.44 0.44,0.33 0.33,0.56 0.56,0.33 0.33,0.44 0.44,0.56 0.56,0.33 0.33,0.44 0.44,0.22 0.22,0.78 0.78,0.56 0.56,0.11 0.11,0.56 0.56,0.33 0.33,0.44 0.44,0.67 0.67,0.44 0.44,0.56 0.56,0.44 0.44,0.56 0.56,0.22 0.22,0.0 0.0,0.44 0.44,0.67 0.67,0.44 0.44,0.44 0.44,0.56 0.56,0.44 0.44,0.67 0.67,0.33 0.33,0.56 0.56,0.22 0.22,0.44 0.44,0.44 0.44,0.56 0.56,0.67 0.67,0.56 0.56,0.33 0.33,0.44 0.44,0.67 0.67,0.56 0.56,0.44 0.44,0.56 0.56,0.78 0.78,0.56 0.56,0.56 0.56,0.67 0.67,0.44 0.44,0.78 0.78,0.44 0.44,0.44 0.44,0.56 0.56,0.56 0.56,0.22 0.22,0.33 0.33,0.56 0.56,0.44 0.44,0.56 0.56,0.22 0.22,0.44 0.44,0.67 0.67,0.33 0.33,0.56 0.56,0.44 0.44,0.56 0.56,0.44 0.44,0.33 0.33,0.22 0.22,0.56 0.56,0.44 0.44,0.44 0.44,0.44 0.44,0.33 0.33,0.56 0.56,0.22 0.22,0.11 0.11,0.44 0.44,0.33 0.33,0.22 0.22,0.22 0.22,0.22 0.22,0.33 0.33,0.44 0.44,0.33 0.33,0.44 0.44,0.0 0.0,0.0 0.0,1.00 1.00,0.0 0.0,0.0 0.0
B-ID-81,0.56 0.56,0.78 0.78,0.33 0.33,0.44 0.44,0.56 0.56,0.33 0.33,0.44 0.44,0.33 0.33,0.44 0.44,0.44 0.44,0.44 0.44,0.56 0.56,0.78 0.78,0.44 0.44,0.67 0.67,0.33 0.33,0.56 0.56,0.67 0.67,0.67 0.67,0.22 0.22,0.33 0.33,0.44 0.44,0.67 0.67,0.78 0.78,0.56 0.56,0.44 0.44,0.33 0.33,0.67 0.67,0.56 0.56,0.89 0.89,0.56 0.56,0.33 0.33,0.67 0.67,0.44 0.44,0.44 0.44,0.22 0.22,0.33 0.33,0.56 0.56,0.56 0.56,0.67 0.67,0.67 0.67,0.33 0.33,0.22 0.22,0.56 0.56,0.44 0.44,0.67 0.67,0.33 0.33,0.44 0.44,0.56 0.56,0.56 0.56,0.56 0.56,0.67 0.67,0.67 0.67,0.56 0.56,0.56 0.56,0.56 0.56,0.33 0.33,0.44 0.44,0.56 0.56,0.56 0.56,0.89 0.89,0.44 0.44,0.56 0.56,0.44 0.44,0.56 0.56,0.33 0.33,0.44 0.44,0.44 0.44,0.44 0.44,0.56 0.56,0.56 0.56,0.33 0.33,0.44 0.44,0.67 0.67,0.44 0.44,0.44 0.44,0.67 0.67,0.44 0.44,0.78 0.78,0.44 0.44,0.0 0.0,0.56 0.56,0.56 0.56,0.56 0.56,0.67 0.67,0.33 0.33,0.56 0.56,0.33 0.33,0.33 0.33,0.67 0.67,0.33 0.33,0.56 0.56,0.44 0.44,0.33 0.33,0.44 0.44,0.33 0.33,0.56 0.56,0.44 0.44,0.33 0.33,0.22 0.22,0.33 0.33,0.44 0.44,0.44 0.44,0.44 0.44,0.56 0.56,0.22 0.22,0.44 0.44,0.33 0.33,0.11 0.11,0.33 0.33,0.44 0.44,0.33 0.33,0.11 0.11,0.22 0.22,0.22 0.22,0.22 0.22,0.11 0.11,0.22 0.22,0.33 0.33,0.33 0.33,0.44 0.44,0.33 0.33,0.22 0.22,0.33 0.33,0.11 0.11,0.22 0.22,0.11 0.11,0.33 0.33,0.33 0.33,0.33 0.33,0.0 0.0,0.22 0.22,0.33 0.33,0.33 0.33,0.44 0.44,0.33 0.33,0.56 0.56,0.22 0.22,0.33 0.33,0.44 0.44,0.44 0.44,0.22 0.22,0.33 0.33,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0
B-ID-82,0.33 0.33,0.56 0.56,0.33 0.33,0.56 0.56,0.67 0.67,0.33 0.33,0.44 0.44,0.67 0.67,0.44 0.44,0.33 0.33,0.33 0.33,0.56 0.56,0.67 0.67,0.44 0.44,0.44 0.44,0.56 0.56,0.44 0.44,0.56 0.56,0.44 0.44,0.44 0.44,0.44 0.44,0.56 0.56,0.56 0.56,0.56 0.56,0.67 0.67,0.44 0.44,0.33 0.33,0.67 0.67,0.56 0.56,0.44 0.44,0.44 0.44,0.33 0.33,0.56 0.56,0.33 0.33,0.67 0.67,0.44 0.44,0.33 0.33,0.56 0.56,0.44 0.44,0.44 0.44,0.78 0.78,0.44 0.44,0.33 0.33,0.67 0.67,0.56 0.56,0.67 0.67,0.22 0.22,0.22 0.22,0.22 0.22,0.67 0.67,0.44 0.44,0.56 0.56,0.44 0.44,0.56 0.56,0.44 0.44,0.67 0.67,0.56 0.56,0.56 0.56,0.67 0.67,0.22 0.22,0.67 0.67,0.44 0.44,0.67 0.67,0.56 0.56,0.44 0.44,0.33 0.33,0.11 0.11,0.44 0.44,0.44 0.44,0.22 0.22,0.78 0.78,0.33 0.33,0.44 0.44,0.56 0.56,0.22 0.22,0.33 0.33,0.56 0.56,0.33 0.33,0.33 0.33,0.67 0.67,0.56 0.56,0.0 0.0,0.56 0.56,0.33 0.33,0.56 0.56,0.33 0.33,0.67 0.67,0.33 0.33,0.44 0.44,0.33 0.33,0.44 0.44,0.33 0.33,0.44 0.44,0.33 0.33,0.44 0.44,0.22 0.22,0.44 0.44,0.44 0.44,0.33 0.33,0.33 0.33,0.56 0.56,0.56 0.56,0.44 0.44,0.56 0.56,0.67 0.67,0.44 0.44,0.56 0.56,0.44 0.44,0.44 0.44,0.56 0.56,0.56 0.56,0.33 0.33,0.22 0.22,0.33 0.33,0.33 0.33,0.33 0.33,0.11 0.11,0.44 0.44,0.44 0.44,0.56 0.56,0.33 0.33,0.33 0.33,0.33 0.33,0.22 0.22,0.33 0.33,0.22 0.22,0.33 0.33,0.33 0.33,0.33 0.33,0.44 0.44,0.22 0.22,0.33 0.33,0.22 0.22,0.33 0.33,0.44 0.44,0.56 0.56,0.44 0.44,0.44 0.44,0.44 0.44,0.44 0.44,0.44 0.44,0.44 0.44,0.44 0.44,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0
B-ID-83,0.56 0.56,0.44 0.44,0.44 0.44,0.78 0.78,0.67 0.67,0.78 0.78,0.56 0.56,0.33 0.33,0.44 0.44,0.44 0.44,0.56 0.56,0.44 0.44,0.56 0.56,0.56 0.56,0.56 0.56,0.56 0.56,0.67 0.67,0.44 0.44,0.44 0.44,0.11 0.11,0.56 0.56,0.56 0.56,0.56 0.56,0.56 0.56,0.44 0.44,0.44 0.44,0.78 0.78,0.67 0.67,0.78 0.78,0.44 0.44,0.44 0.44,0.56 0.56,0.44 0.44,0.33 0.33,0.67 0.67,0.33 0.33,0.33 0.33,0.44 0.44,0.56 0.56,0.44 0.44,0.56 0.56,0.22 0.22,0.33 0.33,0.56 0.56,0.56 0.56,0.56 0.56,0.33 0.33,0.44 0.44,0.56 0.56,0.56 0.56,0.67 0.67,0.44 0.44,0.56 0.56,0.44 0.44,0.56 0.56,0.67 0.67,0.67 0.67,0.44 0.44,0.56 0.56,0.56 0.56,0.56 0.56,0.78 0.78,0.33 0.33,0.44 0.44,0.44 0.44,0.56 0.56,0.33 0.33,0.44 0.44,0.44 0.44,0.22 0.22,0.78 0.78,0.44 0.44,0.56 0.56,0.56 0.56,0.22 0.22,0.33 0.33,0.78 0.78,0.44 0.44,0.33 0.33,0.44 0.44,0.56 0.56,0.56 0.56,0.0 0.0,0.22 0.22,0.67 0.67,0.33 0.33,0.56 0.56,0.67 0.67,0.56 0.56,0.44 0.44,0.33 0.33,0.33 0.33,0.44 0.44,0.44 0.44,0.33 0.33,0.22 0.22,0.56 0.56,0.33 0.33,0.33 0.33,0.22 0.22,0.33 0.33,0.44 0.44,0.33 0.33,0.44 0.44,0.56 0.56,0.33 0.33,0.44 0.44,0.33 0.33,0.33 0.33,0.33 0.33,0.44 0.44,0.44 0.44,0.33 0.33,0.22 0.22,0.11 0.11,0.22 0.22,0.22 0.22,0.22 0.22,0.33 0.33,0.22 0.22,0.33 0.33,0.22 0.22,0.22 0.22,0.22 0.22,0.22 0.22,0.22 0.22,0.33 0.33,0.33 0.33,0.22 0.22,0.33 0.33,0.22 0.22,0.22 0.22,0.22 0.22,0.33 0.33,0.33 0.33,0.44 0.44,0.33 0.33,0.33 0.33,0.22 0.22,0.33 0.33,0.33 0.33,0.44 0.44,0.33 0.33,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0,1.00 1.00
B-ID-84,0.67 0.67,0.44 0.44,0.44 0.44,0.33 0.33,0.33 0.33,0.22 0.22,0.44 0.44,0.67 0.67,0.44 0.44,0.56 0.56,0.44 0.44,0.33 0.33,0.67 0.67,0.44 0.44,0.67 0.67,0.11 0.11,0.44 0.44,0.33 0.33,0.44 0.44,0.56 0.56,0.56 0.56,0.56 0.56,0.56 0.56,0.56 0.56,0.44 0.44,0.22 0.22,0.22 0.22,0.44 0.44,0.33 0.33,0.67 0.67,0.56 0.56,0.44 0.44,0.44 0.44,0.33 0.33,0.33 0.33,0.33 0.33,0.33 0.33,0.33 0.33,0.33 0.33,0.67 0.67,0.44 0.44,0.78 0.78,0.56 0.56,0.44 0.44,0.44 0.44,0.22 0.22,0.44 0.44,0.67 0.67,0.44 0.44,0.44 0.44,0.33 0.33,0.44 0.44,0.44 0.44,0.56 0.56,0.56 0.56,0.44 0.44,0.22 0.22,0.67 0.67,0.33 0.33,0.56 0.56,0.44 0.44,0.11 0.11,0.67 0.67,0.56 0.56,0.78 0.78,0.33 0.33,0.44 0.44,0.56 0.56,0.33 0.33,0.56 0.56,0.22 0.22,0.67 0.67,0.33 0.33,0.56 0.56,0.67 0.67,0.56 0.56,0.22 0.22,0.67 0.67,0.56 0.56,0.44 0.44,0.56 0.56,0.33 0.33,0.22 0.22,0.0 0.0,0.22 0.22,0.33 0.33,0.22 0.22,0.22 0.22,0.44 0.44,0.44 0.44,0.44 0.44,0.78 0.78,0.33 0.33,0.56 0.56,0.56 0.56,0.56 0.56,0.56 0.56,0.67 0.67,0.56 0.56,0.33 0.33,0.44 0.44,0.33 0.33,0.56 0.56,0.33 0.33,0.22 0.22,0.44 0.44,0.33 0.33,0.22 0.22,0.11 0.11,0.22 0.22,0.11 0.11,0.22 0.22,0.22 0.22,0.33 0.33,0.44 0.44,0.33 0.33,0.33 0.33,0.22 0.22,0.22 0.22,0.33 0.33,0.33 0.33,0.44 0.44,0.22 0.22,0.44 0.44,0.33 0.33,0.33 0.33,0.11 0.11,0.22 0.22,0.44 0.44,0.22 0.22,0.33 0.33,0.33 0.33,0.33 0.33,0.33 0.33,0.22 0.22,0.11 0.11,0.33 0.33,0.22 0.22,0.33 0.33,0.22 0.22,0.22 0.22,0.11 0.11,0.22 0.22,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0
